season,matchweek,home,visitor,result
2001_2002,1,Málaga,Betis,3-2
2001_2002,1,Valencia,R. Madrid,1-0
2001_2002,1,Deportivo,Valladolid,4-0
2001_2002,1,Mallorca,Las Palmas,0-3
2001_2002,1,Espanyol,Zaragoza,2-1
2001_2002,1,Tenerife,Alavés,0-2
2001_2002,1,Osasuna,Celta,0-3
2001_2002,1,Rayo,Villarreal,1-2
2001_2002,1,Sevilla,Barcelona,1-2
2001_2002,1,R. Sociedad,Athletic,1-3
2001_2002,2,Betis,Espanyol,2-0
2001_2002,2,R. Madrid,Málaga,1-1
2001_2002,2,Valladolid,Valencia,1-1
2001_2002,2,Las Palmas,Deportivo,0-1
2001_2002,2,Zaragoza,Sevilla,1-1
2001_2002,2,Alavés,R. Sociedad,2-0
2001_2002,2,Celta,Tenerife,3-0
2001_2002,2,Villarreal,Osasuna,3-0
2001_2002,2,Barcelona,Rayo,1-1
2001_2002,2,Athletic,Mallorca,0-1
2001_2002,3,Betis,R. Madrid,3-1
2001_2002,3,Málaga,Valladolid,1-2
2001_2002,3,Valencia,Las Palmas,1-0
2001_2002,3,Deportivo,Athletic,1-2
2001_2002,3,Espanyol,Sevilla,2-3
2001_2002,3,R. Sociedad,Celta,0-0
2001_2002,3,Tenerife,Villarreal,2-0
2001_2002,3,Osasuna,Barcelona,0-0
2001_2002,3,Rayo,Zaragoza,1-2
2001_2002,3,Mallorca,Alavés,0-0
2001_2002,4,R. Madrid,Espanyol,5-1
2001_2002,4,Valladolid,Betis,0-2
2001_2002,4,Las Palmas,Málaga,0-0
2001_2002,4,Athletic,Valencia,2-2
2001_2002,4,Sevilla,Rayo,2-1
2001_2002,4,Celta,Mallorca,2-0
2001_2002,4,Villarreal,R. Sociedad,1-0
2001_2002,4,Barcelona,Tenerife,2-0
2001_2002,4,Zaragoza,Osasuna,0-1
2001_2002,4,Alavés,Deportivo,2-3
2001_2002,5,R. Madrid,Valladolid,2-2
2001_2002,5,Betis,Las Palmas,1-0
2001_2002,5,Málaga,Athletic,1-2
2001_2002,5,Valencia,Alavés,0-0
2001_2002,5,Espanyol,Rayo,3-1
2001_2002,5,Mallorca,Villarreal,0-1
2001_2002,5,R. Sociedad,Barcelona,0-2
2001_2002,5,Tenerife,Zaragoza,0-0
2001_2002,5,Osasuna,Sevilla,1-0
2001_2002,5,Deportivo,Celta,2-2
2001_2002,6,Zaragoza,R. Sociedad,3-2
2001_2002,6,Sevilla,Tenerife,2-0
2001_2002,6,Rayo,Osasuna,0-1
2001_2002,6,Valladolid,Espanyol,0-1
2001_2002,6,Barcelona,Mallorca,3-0
2001_2002,6,Athletic,Betis,0-0
2001_2002,6,Alavés,Málaga,1-0
2001_2002,6,Celta,Valencia,1-1
2001_2002,6,Villarreal,Deportivo,1-1
2001_2002,6,Las Palmas,R. Madrid,4-2
2001_2002,7,Valladolid,Las Palmas,1-0
2001_2002,7,R. Madrid,Athletic,2-0
2001_2002,7,Betis,Alavés,1-0
2001_2002,7,Málaga,Celta,2-2
2001_2002,7,Espanyol,Osasuna,1-1
2001_2002,7,Deportivo,Barcelona,2-1
2001_2002,7,Mallorca,Zaragoza,0-1
2001_2002,7,R. Sociedad,Sevilla,3-3
2001_2002,7,Tenerife,Rayo,3-1
2001_2002,7,Valencia,Villarreal,1-0
2001_2002,8,Las Palmas,Espanyol,2-0
2001_2002,8,Athletic,Valladolid,1-4
2001_2002,8,Alavés,R. Madrid,0-0
2001_2002,8,Celta,Betis,3-1
2001_2002,8,Osasuna,Tenerife,0-2
2001_2002,8,Barcelona,Valencia,2-2
2001_2002,8,Zaragoza,Deportivo,1-2
2001_2002,8,Sevilla,Mallorca,2-2
2001_2002,8,Rayo,R. Sociedad,2-1
2001_2002,8,Villarreal,Málaga,1-2
2001_2002,9,Las Palmas,Athletic,1-1
2001_2002,9,Valladolid,Alavés,1-3
2001_2002,9,R. Madrid,Celta,1-1
2001_2002,9,Betis,Villarreal,1-1
2001_2002,9,Espanyol,Tenerife,2-0
2001_2002,9,Valencia,Zaragoza,2-0
2001_2002,9,Deportivo,Sevilla,1-0
2001_2002,9,Mallorca,Rayo,3-0
2001_2002,9,R. Sociedad,Osasuna,2-1
2001_2002,9,Málaga,Barcelona,1-1
2001_2002,10,Athletic,Espanyol,1-1
2001_2002,10,Alavés,Las Palmas,1-0
